2026-06-05 19:49:14 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/jsait.2025.3616940, retrying LLM call
2026-06-05 19:49:27 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/jsait.2025.3616940 — flagged for rerun
2026-06-05 19:52:36 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3678200, retrying LLM call
2026-06-05 19:52:51 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tit.2026.3678200 — flagged for rerun
2026-06-05 19:53:31 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3688060, retrying LLM call
2026-06-05 19:59:58 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3653055, retrying LLM call
2026-06-05 20:00:15 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tit.2026.3653055 — flagged for rerun
2026-06-05 20:01:44 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3663591, retrying LLM call
2026-06-05 20:03:00 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3665706, retrying LLM call
2026-06-05 20:03:10 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tit.2026.3665706 — flagged for rerun
2026-06-05 20:09:40 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3664082, retrying LLM call
2026-06-05 20:13:06 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3654243, retrying LLM call
2026-06-05 20:13:33 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3653482, retrying LLM call
2026-06-05 20:16:00 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3650761, retrying LLM call
2026-06-05 20:16:12 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tpami.2026.3650761 — flagged for rerun
2026-06-05 20:18:25 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tsp.2025.3648327, retrying LLM call
2026-06-05 20:20:50 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/jsait.2026.3688592, retrying LLM call
2026-06-05 20:27:34 INFO research_news.score_log: appended 384 scored papers to data\llm_scores.jsonl
2026-06-05 20:27:34 INFO research_news.journals: looking up institutions for 384 journal papers ...
2026-06-05 20:27:42 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.05188: HTTP 404 (work not indexed yet?)
2026-06-05 20:27:48 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2409.02327: HTTP 404 (work not indexed yet?)
2026-06-05 20:27:49 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.02636: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:01 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2506.10374: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:05 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2312.07397: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:08 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.00677: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:14 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.15202: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:15 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2506.12218: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:22 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2508.12901: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:25 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2504.04267: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:29 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.06123: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:33 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2507.18147: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:34 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2402.09456: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:38 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2506.22004: HTTP 404 (work not indexed yet?)
2026-06-05 20:28:43 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2509.08425: HTTP 404 (work not indexed yet?)
2026-06-05 20:29:22 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2510.08364: HTTP 404 (work not indexed yet?)
2026-06-05 20:29:27 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2505.13710: HTTP 404 (work not indexed yet?)
2026-06-05 20:29:31 INFO research_news.scrapers.affiliations: OpenAlex affiliation lookup failed for 10.48550/arXiv.2501.12447: HTTP 404 (work not indexed yet?)
