2026-05-24 16:31:19 INFO research_news.llm.pipeline: score batch 82: parsed 8 scores
2026-05-24 16:31:19 INFO research_news.llm.pipeline: scoring batch 83/136 (8 papers) ...
2026-05-24 16:31:35 INFO research_news.llm.pipeline: score batch 83: parsed 8 scores
2026-05-24 16:31:35 INFO research_news.llm.pipeline: scoring batch 84/136 (8 papers) ...
2026-05-24 16:31:41 INFO research_news.llm.pipeline: score batch 84: parsed 8 scores
2026-05-24 16:31:41 INFO research_news.llm.pipeline: scoring batch 85/136 (8 papers) ...
2026-05-24 16:31:53 INFO research_news.llm.pipeline: score batch 85: parsed 8 scores
2026-05-24 16:31:53 INFO research_news.llm.pipeline: scoring batch 86/136 (8 papers) ...
2026-05-24 16:32:01 INFO research_news.llm.pipeline: score batch 86: parsed 8 scores
2026-05-24 16:32:01 INFO research_news.llm.pipeline: scoring batch 87/136 (8 papers) ...
2026-05-24 16:32:12 INFO research_news.llm.pipeline: score batch 87: parsed 8 scores
2026-05-24 16:32:12 INFO research_news.llm.pipeline: scoring batch 88/136 (8 papers) ...
2026-05-24 16:32:25 INFO research_news.llm.pipeline: score batch 88: parsed 8 scores
2026-05-24 16:32:25 INFO research_news.llm.pipeline: scoring batch 89/136 (8 papers) ...
2026-05-24 16:32:42 INFO research_news.llm.pipeline: score batch 89: parsed 8 scores
2026-05-24 16:32:42 INFO research_news.llm.pipeline: scoring batch 90/136 (8 papers) ...
2026-05-24 16:32:57 INFO research_news.llm.pipeline: score batch 90: parsed 8 scores
2026-05-24 16:32:57 INFO research_news.llm.pipeline: scoring batch 91/136 (8 papers) ...
2026-05-24 16:33:03 INFO research_news.llm.pipeline: score batch 91: parsed 8 scores
2026-05-24 16:33:03 INFO research_news.llm.pipeline: scoring batch 92/136 (8 papers) ...
2026-05-24 16:33:23 INFO research_news.llm.pipeline: score batch 92: parsed 8 scores
2026-05-24 16:33:23 INFO research_news.llm.pipeline: scoring batch 93/136 (8 papers) ...
2026-05-24 16:33:35 INFO research_news.llm.pipeline: score batch 93: parsed 8 scores
2026-05-24 16:33:35 INFO research_news.llm.pipeline: scoring batch 94/136 (8 papers) ...
2026-05-24 16:33:46 INFO research_news.llm.pipeline: score batch 94: parsed 8 scores
2026-05-24 16:33:46 INFO research_news.llm.pipeline: scoring batch 95/136 (8 papers) ...
2026-05-24 16:34:10 INFO research_news.llm.pipeline: score batch 95: parsed 8 scores
2026-05-24 16:34:10 INFO research_news.llm.pipeline: scoring batch 96/136 (8 papers) ...
2026-05-24 16:34:25 INFO research_news.llm.pipeline: score batch 96: parsed 8 scores
2026-05-24 16:34:25 INFO research_news.llm.pipeline: scoring batch 97/136 (8 papers) ...
2026-05-24 16:34:37 INFO research_news.llm.pipeline: score batch 97: parsed 8 scores
2026-05-24 16:34:37 INFO research_news.llm.pipeline: scoring batch 98/136 (8 papers) ...
2026-05-24 16:34:53 INFO research_news.llm.pipeline: score batch 98: parsed 8 scores
2026-05-24 16:34:53 INFO research_news.llm.pipeline: scoring batch 99/136 (8 papers) ...
2026-05-24 16:35:06 INFO research_news.llm.pipeline: score batch 99: parsed 8 scores
2026-05-24 16:35:06 INFO research_news.llm.pipeline: scoring batch 100/136 (8 papers) ...
2026-05-24 16:35:19 INFO research_news.llm.pipeline: score batch 100: parsed 8 scores
2026-05-24 16:35:19 INFO research_news.llm.pipeline: scoring batch 101/136 (8 papers) ...
2026-05-24 16:35:29 INFO research_news.llm.pipeline: score batch 101: parsed 8 scores
2026-05-24 16:35:29 INFO research_news.llm.pipeline: scoring batch 102/136 (8 papers) ...
2026-05-24 16:35:40 INFO research_news.llm.pipeline: score batch 102: parsed 8 scores
2026-05-24 16:35:40 INFO research_news.llm.pipeline: scoring batch 103/136 (8 papers) ...
2026-05-24 16:35:51 INFO research_news.llm.pipeline: score batch 103: parsed 8 scores
2026-05-24 16:35:51 INFO research_news.llm.pipeline: scoring batch 104/136 (8 papers) ...
2026-05-24 16:36:05 INFO research_news.llm.pipeline: score batch 104: parsed 8 scores
2026-05-24 16:36:05 INFO research_news.llm.pipeline: scoring batch 105/136 (8 papers) ...
2026-05-24 16:36:16 INFO research_news.llm.pipeline: score batch 105: parsed 8 scores
2026-05-24 16:36:16 INFO research_news.llm.pipeline: scoring batch 106/136 (8 papers) ...
2026-05-24 16:36:27 INFO research_news.llm.pipeline: score batch 106: parsed 8 scores
2026-05-24 16:36:27 INFO research_news.llm.pipeline: scoring batch 107/136 (8 papers) ...
2026-05-24 16:36:36 INFO research_news.llm.pipeline: score batch 107: parsed 8 scores
2026-05-24 16:36:36 INFO research_news.llm.pipeline: scoring batch 108/136 (8 papers) ...
2026-05-24 16:36:47 INFO research_news.llm.pipeline: score batch 108: parsed 8 scores
2026-05-24 16:36:47 INFO research_news.llm.pipeline: scoring batch 109/136 (8 papers) ...
2026-05-24 16:36:58 INFO research_news.llm.pipeline: score batch 109: parsed 8 scores
2026-05-24 16:36:58 INFO research_news.llm.pipeline: scoring batch 110/136 (8 papers) ...
2026-05-24 16:37:23 INFO research_news.llm.pipeline: score batch 110: parsed 8 scores
2026-05-24 16:37:23 INFO research_news.llm.pipeline: scoring batch 111/136 (8 papers) ...
2026-05-24 16:37:34 INFO research_news.llm.pipeline: score batch 111: parsed 8 scores
2026-05-24 16:37:34 INFO research_news.llm.pipeline: scoring batch 112/136 (8 papers) ...
2026-05-24 16:37:42 INFO research_news.llm.pipeline: score batch 112: parsed 8 scores
2026-05-24 16:37:42 INFO research_news.llm.pipeline: scoring batch 113/136 (8 papers) ...
2026-05-24 16:37:54 INFO research_news.llm.pipeline: score batch 113: parsed 8 scores
2026-05-24 16:37:54 INFO research_news.llm.pipeline: scoring batch 114/136 (8 papers) ...
2026-05-24 16:38:07 INFO research_news.llm.pipeline: score batch 114: parsed 8 scores
2026-05-24 16:38:07 INFO research_news.llm.pipeline: scoring batch 115/136 (8 papers) ...
2026-05-24 16:38:18 INFO research_news.llm.pipeline: score batch 115: parsed 8 scores
2026-05-24 16:38:18 INFO research_news.llm.pipeline: scoring batch 116/136 (8 papers) ...
2026-05-24 16:38:31 INFO research_news.llm.pipeline: score batch 116: parsed 8 scores
2026-05-24 16:38:31 INFO research_news.llm.pipeline: scoring batch 117/136 (8 papers) ...
2026-05-24 16:38:41 INFO research_news.llm.pipeline: score batch 117: parsed 8 scores
2026-05-24 16:38:41 INFO research_news.llm.pipeline: scoring batch 118/136 (8 papers) ...
2026-05-24 16:38:54 INFO research_news.llm.pipeline: score batch 118: parsed 8 scores
2026-05-24 16:38:54 INFO research_news.llm.pipeline: scoring batch 119/136 (8 papers) ...
2026-05-24 16:39:16 INFO research_news.llm.pipeline: score batch 119: parsed 8 scores
2026-05-24 16:39:16 INFO research_news.llm.pipeline: scoring batch 120/136 (8 papers) ...
2026-05-24 16:39:26 INFO research_news.llm.pipeline: score batch 120: parsed 8 scores
2026-05-24 16:39:26 INFO research_news.llm.pipeline: scoring batch 121/136 (8 papers) ...
2026-05-24 16:39:39 INFO research_news.llm.pipeline: score batch 121: parsed 8 scores
2026-05-24 16:39:39 INFO research_news.llm.pipeline: scoring batch 122/136 (8 papers) ...
2026-05-24 16:39:50 INFO research_news.llm.pipeline: score batch 122: parsed 8 scores
2026-05-24 16:39:50 INFO research_news.llm.pipeline: scoring batch 123/136 (8 papers) ...
2026-05-24 16:40:00 INFO research_news.llm.pipeline: score batch 123: parsed 8 scores
2026-05-24 16:40:00 INFO research_news.llm.pipeline: scoring batch 124/136 (8 papers) ...
2026-05-24 16:40:08 INFO research_news.llm.pipeline: score batch 124: parsed 8 scores
2026-05-24 16:40:08 INFO research_news.llm.pipeline: scoring batch 125/136 (8 papers) ...
2026-05-24 16:40:21 INFO research_news.llm.pipeline: score batch 125: parsed 8 scores
2026-05-24 16:40:21 INFO research_news.llm.pipeline: scoring batch 126/136 (8 papers) ...
2026-05-24 16:40:36 INFO research_news.llm.pipeline: score batch 126: parsed 8 scores
2026-05-24 16:40:36 INFO research_news.llm.pipeline: scoring batch 127/136 (8 papers) ...
2026-05-24 16:40:47 INFO research_news.llm.pipeline: score batch 127: parsed 8 scores
2026-05-24 16:40:47 INFO research_news.llm.pipeline: scoring batch 128/136 (8 papers) ...
