2026-05-23 22:01:58 INFO research_news.journals: journals run: groups=['core', 'prob_stats', 'applied', 'econ', 'astro', 'epi', 'ieee'], only=['astro']
2026-05-23 22:37:12 INFO research_news.llm.pipeline: score batch 69: parsed 8 scores
2026-05-23 22:37:12 INFO research_news.llm.pipeline: scoring batch 70/89 (8 papers) ...
2026-05-23 22:39:19 INFO research_news.llm.pipeline: score batch 70: parsed 8 scores
2026-05-23 22:39:19 INFO research_news.llm.pipeline: scoring batch 71/89 (8 papers) ...
2026-05-23 22:39:28 INFO research_news.llm.pipeline: score batch 71: parsed 8 scores
2026-05-23 22:39:28 INFO research_news.llm.pipeline: scoring batch 72/89 (8 papers) ...
2026-05-23 22:39:57 INFO research_news.llm.pipeline: score batch 72: parsed 8 scores
2026-05-23 22:39:57 INFO research_news.llm.pipeline: scoring batch 73/89 (8 papers) ...
2026-05-23 22:40:10 INFO research_news.llm.pipeline: score batch 73: parsed 8 scores
2026-05-23 22:40:10 INFO research_news.llm.pipeline: scoring batch 74/89 (8 papers) ...
2026-05-23 22:40:47 INFO research_news.llm.pipeline: score batch 74: parsed 8 scores
2026-05-23 22:40:47 INFO research_news.llm.pipeline: scoring batch 75/89 (8 papers) ...
2026-05-23 22:40:59 INFO research_news.llm.pipeline: score batch 75: parsed 8 scores
2026-05-23 22:40:59 INFO research_news.llm.pipeline: scoring batch 76/89 (8 papers) ...
2026-05-23 22:41:12 INFO research_news.llm.pipeline: score batch 76: parsed 8 scores
2026-05-23 22:41:12 INFO research_news.llm.pipeline: scoring batch 77/89 (8 papers) ...
2026-05-23 22:41:25 INFO research_news.llm.pipeline: score batch 77: parsed 8 scores
2026-05-23 22:41:25 INFO research_news.llm.pipeline: scoring batch 78/89 (8 papers) ...
2026-05-23 22:41:36 INFO research_news.llm.pipeline: score batch 78: parsed 8 scores
2026-05-23 22:41:36 INFO research_news.llm.pipeline: scoring batch 79/89 (8 papers) ...
2026-05-23 22:41:47 INFO research_news.llm.pipeline: score batch 79: parsed 8 scores
2026-05-23 22:41:47 INFO research_news.llm.pipeline: scoring batch 80/89 (8 papers) ...
2026-05-23 22:41:59 INFO research_news.llm.pipeline: score batch 80: parsed 8 scores
2026-05-23 22:41:59 INFO research_news.llm.pipeline: scoring batch 81/89 (8 papers) ...
2026-05-23 22:42:07 INFO research_news.llm.pipeline: score batch 81: parsed 8 scores
2026-05-23 22:42:07 INFO research_news.llm.pipeline: scoring batch 82/89 (8 papers) ...
2026-05-23 22:42:15 INFO research_news.llm.pipeline: score batch 82: parsed 8 scores
2026-05-23 22:42:15 INFO research_news.llm.pipeline: scoring batch 83/89 (8 papers) ...
2026-05-23 22:42:24 INFO research_news.llm.pipeline: score batch 83: parsed 8 scores
2026-05-23 22:42:24 INFO research_news.llm.pipeline: scoring batch 84/89 (8 papers) ...
2026-05-23 22:42:35 INFO research_news.llm.pipeline: score batch 84: parsed 8 scores
